Career,Skills
AI Engineer,"Python Machine Learning Deep Learning NLP TensorFlow"
Data Scientist,"Python SQL Statistics Machine Learning"
Data Analyst,"Python SQL Excel Power BI"
ML Engineer,"Python Machine Learning TensorFlow"
Software Engineer,"Python Java DSA DBMS OOP"
Financial Analyst,"Finance Accounting Financial Modeling Valuation Excel"
Digital Marketer,"SEO Copywriting Social Media Google Ads Branding Content Strategy Marketing"
UI/UX Designer,"Figma UI/UX Design Wireframing Prototyping Photoshop Illustrator Canva"
HR Specialist,"Recruitment HR Management Talent Acquisition Communication"
Mechanical Engineer,"CAD SolidWorks AutoCAD Thermodynamics MATLAB Manufacturing Engineering"
Content Writer,"Writing Editing Blogging Research Communication Copywriting"
Embedded Systems Engineer,"microcontrollers embedded systems VLSI circuit design signal processing Arduino Raspberry Pi ECE"
Product Manager,"Product Management Agile Scrum Product Strategy Business Analysis Product Lifecycle"
Business Consultant,"Business Analysis Operations Management Strategy Finance Consulting Communication Marketing"